deal_id,date,year,deal_type,acquirer_or_investors,target_or_company,value_usd_bn,description,is_megadeal,is_real_headline
D0124,2012-11-07,2012,VC,F-Prime Capital,Denyot OS,0.036,VC 2012,0,0
D0123,2012-11-09,2012,Series_B,a16z Bio,Lumxen GX,0.196,Series_B 2012,0,0
D0140,2012-11-19,2012,VC,Third Rock Ventures,Lumyot IO,0.119,VC 2012,0,0
D0114,2012-11-23,2012,VC,F-Prime Capital,Quobio Tx,0.083,VC 2012,0,0
D0117,2012-12-04,2012,M&A,Sanofi,Neurep Tx,50.0,M&A 2012,1,0
D0122,2012-12-15,2012,VC,Flagship Pioneering,Unisyn Therapeutics,0.277,VC 2012,0,0
D0132,2012-12-18,2012,M&A,AbbVie,Jasbio OS,1.243,M&A 2012,0,0
D0149,2012-12-19,2012,Series_C,Bain Capital Life Sciences,Modsyn RX,0.179,Series_C 2012,0,0
D0139,2012-12-22,2012,Series_C,Flagship Pioneering,Kymxen BIO,0.041,Series_C 2012,0,0
D0138,2012-12-23,2012,Series_B,Flagship Pioneering,Neurep Therapeutics,0.127,Series_B 2012,0,0
D0179,2013-01-14,2013,VC,ARCH Venture Partners,Biouni GX,0.094,VC 2013,0,0
D0204,2013-01-18,2013,VC,Versant Ventures,Neupro BIO,0.207,VC 2013,0,0
D0199,2013-01-27,2013,VC,Flagship Pioneering,Genden IO,0.011,VC 2013,0,0
D0210,2013-02-06,2013,Series_B,Flagship Pioneering,Synrep IO,0.179,Series_B 2013,0,0
D0200,2013-02-07,2013,M&A,BMS,Celzeo OS,16.822,M&A 2013,1,0
D0198,2013-02-15,2013,Series_B,ARCH Venture Partners,Hapzeo Therapeutics,0.12,Series_B 2013,0,0
D0178,2013-02-18,2013,VC,Flagship Pioneering,Genimm Therapeutics,0.036,VC 2013,0,0
D0172,2013-02-21,2013,VC,GV (Google Ventures),Hapgen Therapeutics,0.577,VC 2013,0,0
D0168,2013-02-27,2013,Series_C,Versant Ventures,Quokym IO,1.079,Series_C 2013,0,0
D0169,2013-03-05,2013,M&A,Amgen,Genyot Therapeutics,0.908,M&A 2013,0,0
D0191,2013-03-08,2013,M&A,Merck,Yotxen ON,3.058,M&A 2013,0,0
D0182,2013-03-11,2013,VC,F-Prime Capital,Zeotav X,0.293,VC 2013,0,0
D0209,2013-03-17,2013,M&A,AstraZeneca,Synxen Therapeutics,0.126,M&A 2013,0,0
D0170,2013-03-22,2013,VC,Polaris Partners,Yotjas BIO,0.376,VC 2013,0,0
D0176,2013-04-04,2013,M&A,Novartis,Vecquo BIO,23.031,M&A 2013,1,0
D0189,2013-04-09,2013,VC,Atlas Venture,Biozeo GX,0.225,VC 2013,0,0
D0195,2013-04-21,2013,IPO,Public markets,Bioonc RX,0.209,IPO 2013,0,0
D0208,2013-05-02,2013,VC,Versant Ventures,Kymneu ON,0.031,VC 2013,0,0
D0202,2013-06-09,2013,Series_B,OrbiMed,Quoden IO,0.097,Series_B 2013,0,0
D0180,2013-06-13,2013,VC,F-Prime Capital,Tavtav BIO,0.075,VC 2013,0,0
D0160,2013-06-23,2013,M&A,Novartis,Biomod Therapeutics,0.879,M&A 2013,0,0
D0197,2013-07-14,2013,Series_C,a16z Bio,Tavlum BIO,0.035,Series_C 2013,0,0
D0212,2013-07-18,2013,Series_B,ARCH Venture Partners,Immlum Tx,0.112,Series_B 2013,0,0
D0194,2013-07-20,2013,VC,RA Capital,Lumaer Tx,0.245,VC 2013,0,0
D0161,2013-07-22,2013,Series_B,Polaris Partners,Zeobio AB,0.032,Series_B 2013,0,0
D0185,2013-07-26,2013,IPO,Public markets,Epipro Tx,0.303,IPO 2013,0,0
D0173,2013-08-04,2013,VC,ARCH Venture Partners,Vecjas RX,0.024,VC 2013,0,0
D0211,2013-08-06,2013,VC,Third Rock Ventures,Unixen ON,0.063,VC 2013,0,0
D0188,2013-08-08,2013,VC,Versant Ventures,Immpro Tx,0.464,VC 2013,0,0
D0192,2013-08-09,2013,Crossover,OrbiMed,Unitav BIO,0.066,Crossover 2013,0,0
D0190,2013-08-17,2013,Series_C,Bain Capital Life Sciences,Quoden ON,0.347,Series_C 2013,0,0
D0163,2013-08-19,2013,IPO,Public markets,Proxen RX,0.486,IPO 2013,0,0
D0162,2013-08-21,2013,IPO,Public markets,Neuvec X,0.113,IPO 2013,0,0
D0159,2013-08-25,2013,Series_C,OrbiMed,Genepi GX,1.615,Series_C 2013,0,0
D0177,2013-08-27,2013,VC,Third Rock Ventures,Yotquo IO,0.202,VC 2013,0,0
D0167,2013-09-02,2013,VC,OrbiMed,Yottav Therapeutics,0.445,VC 2013,0,0
D0181,2013-09-06,2013,VC,Sofinnova Investments,Jasrep IO,0.137,VC 2013,0,0
D0165,2013-09-08,2013,VC,ARCH Venture Partners,Jassyn OS,0.149,VC 2013,0,0
D0171,2013-09-14,2013,Series_C,F-Prime Capital,Zeotav Tx,0.1,Series_C 2013,0,0
D0183,2013-09-14,2013,Series_C,Sofinnova Investments,Lumquo OS,0.096,Series_C 2013,0,0
D0174,2013-09-17,2013,M&A,BMS,Uniuni X,0.226,M&A 2013,0,0
D0186,2013-09-18,2013,VC,F-Prime Capital,Vecyot AB,0.138,VC 2013,0,0
D0196,2013-09-19,2013,VC,Polaris Partners,Denquo AB,0.035,VC 2013,0,0
D0206,2013-09-23,2013,VC,Polaris Partners,Synsyn Therapeutics,0.085,VC 2013,0,0
D0203,2013-09-26,2013,Crossover,Atlas Venture,Xenhap ON,0.11,Crossover 2013,0,0
D0164,2013-09-27,2013,Series_B,Flagship Pioneering,Tavepi IO,0.146,Series_B 2013,0,0
D0158,2013-10-01,2013,Series_C,Sofinnova Investments,Quoxen Tx,0.22,Series_C 2013,0,0
D0207,2013-10-01,2013,VC,Bain Capital Life Sciences,Haplum Tx,0.098,VC 2013,0,0
D0193,2013-10-07,2013,M&A,Gilead,Denbio Therapeutics,1.756,M&A 2013,0,0
D0175,2013-11-12,2013,M&A,Merck,Oncgen RX,0.071,M&A 2013,0,0
D0201,2013-11-21,2013,VC,Polaris Partners,Quomod BIO,0.297,VC 2013,0,0
D0187,2013-12-01,2013,M&A,Gilead,Zeoonc ON,1.284,M&A 2013,0,0
D0184,2013-12-06,2013,IPO,Public markets,Gengen ON,0.461,IPO 2013,0,0
D0166,2013-12-07,2013,VC,Sofinnova Investments,Repkym OS,0.142,VC 2013,0,0
D0205,2013-12-20,2013,Series_C,Flagship Pioneering,Yotzeo Tx,0.061,Series_C 2013,0,0
D0216,2014-01-04,2014,Crossover,Atlas Venture,Jasuni OS,0.33,Crossover 2014,0,0
D0252,2014-01-17,2014,VC,ARCH Venture Partners,Biokym X,0.075,VC 2014,0,0
D0218,2014-01-18,2014,VC,RA Capital,Yotcel X,0.512,VC 2014,0,0
D0245,2014-01-19,2014,VC,Third Rock Ventures,Proimm BIO,0.059,VC 2014,0,0
D0258,2014-02-16,2014,VC,Polaris Partners,Genimm BIO,0.063,VC 2014,0,0
D0272,2014-02-17,2014,VC,Sofinnova Investments,Vecbio BIO,0.115,VC 2014,0,0
D0230,2014-02-21,2014,M&A,J&J,Tavyot X,50.0,M&A 2014,1,0
D0243,2014-02-22,2014,Series_C,Polaris Partners,Kymquo RX,0.403,Series_C 2014,0,0
D0270,2014-03-01,2014,Series_B,ARCH Venture Partners,Tavuni GX,0.055,Series_B 2014,0,0
D0219,2014-03-03,2014,VC,Polaris Partners,Immmod GX,0.322,VC 2014,0,0
D0257,2014-03-09,2014,VC,Third Rock Ventures,Oncden BIO,0.215,VC 2014,0,0
D0226,2014-03-17,2014,VC,a16z Bio,Lumneu RX,0.428,VC 2014,0,0
D0214,2014-03-25,2014,VC,OrbiMed,Xenzeo RX,0.026,VC 2014,0,0
D0238,2014-03-25,2014,VC,F-Prime Capital,Synepi BIO,0.215,VC 2014,0,0
D0261,2014-04-01,2014,Series_B,ARCH Venture Partners,Celtav BIO,0.086,Series_B 2014,0,0
D0239,2014-04-20,2014,Series_B,Atlas Venture,Aerimm BIO,0.106,Series_B 2014,0,0
D0222,2014-05-11,2014,VC,Sofinnova Investments,Celtav ON,0.073,VC 2014,0,0
D0229,2014-05-15,2014,VC,Sofinnova Investments,Xenpro X,0.03,VC 2014,0,0
D0215,2014-05-17,2014,VC,F-Prime Capital,Provec X,0.299,VC 2014,0,0
D0262,2014-05-19,2014,M&A,Sanofi,Veconc IO,8.241,M&A 2014,0,0
D0266,2014-05-21,2014,Series_B,Third Rock Ventures,Aerlum Tx,0.951,Series_B 2014,0,0
D0264,2014-05-24,2014,VC,Sofinnova Investments,Aerimm RX,0.051,VC 2014,0,0
D0002,2014-05-26,2014,M&A,Bayer,Merck Consumer Care,14.2,Consumer health acquisition,1,1
D0247,2014-06-08,2014,Series_C,Flagship Pioneering,Celkym IO,0.123,Series_C 2014,0,0
D0231,2014-06-10,2014,VC,GV (Google Ventures),Tavsyn ON,0.11,VC 2014,0,0
D0253,2014-06-12,2014,VC,Third Rock Ventures,Aercel ON,0.307,VC 2014,0,0
D0249,2014-06-16,2014,VC,Atlas Venture,Modjas BIO,0.096,VC 2014,0,0
D0271,2014-06-18,2014,VC,Polaris Partners,Quouni IO,0.038,VC 2014,0,0
D0237,2014-06-25,2014,M&A,AstraZeneca,Jasgen RX,2.936,M&A 2014,0,0
D0259,2014-07-16,2014,Series_C,Bain Capital Life Sciences,Genlum X,0.292,Series_C 2014,0,0
D0217,2014-07-18,2014,IPO,Public markets,Epineu ON,0.487,IPO 2014,0,0
D0225,2014-07-19,2014,Series_B,Bain Capital Life Sciences,Celaer RX,0.079,Series_B 2014,0,0
D0248,2014-07-21,2014,Series_C,Flagship Pioneering,Jasuni X,0.173,Series_C 2014,0,0
D0268,2014-08-01,2014,VC,Flagship Pioneering,Genkym Tx,0.099,VC 2014,0,0
D0255,2014-08-03,2014,Series_B,GV (Google Ventures),Lumvec RX,0.088,Series_B 2014,0,0
D0269,2014-08-13,2014,IPO,Public markets,Epikym X,0.275,IPO 2014,0,0
D0221,2014-08-16,2014,Series_B,Sofinnova Investments,Modsyn IO,0.545,Series_B 2014,0,0
D0267,2014-08-19,2014,IPO,Public markets,Hapjas IO,2.176,IPO 2014,0,0
D0241,2014-08-19,2014,Series_B,Versant Ventures,Celkym IO,0.055,Series_B 2014,0,0
D0228,2014-08-20,2014,M&A,Pfizer,Xenaer BIO,0.13,M&A 2014,0,0
D0256,2014-08-21,2014,VC,Versant Ventures,Quomod RX,0.038,VC 2014,0,0
D0265,2014-08-23,2014,IPO,Public markets,Xenjas Tx,0.54,IPO 2014,0,0
D0260,2014-09-08,2014,IPO,Public markets,Yotrep BIO,0.162,IPO 2014,0,0
D0232,2014-09-08,2014,Series_B,Atlas Venture,Tavjas GX,0.124,Series_B 2014,0,0
D0227,2014-09-27,2014,M&A,Roche,Repepi ON,12.267,M&A 2014,1,0
D0254,2014-10-06,2014,IPO,Public markets,Lumden Tx,1.388,IPO 2014,0,0
D0224,2014-10-09,2014,VC,GV (Google Ventures),Yotmod ON,0.626,VC 2014,0,0
D0233,2014-10-12,2014,M&A,BMS,Immonc RX,0.897,M&A 2014,0,0
D0244,2014-10-14,2014,VC,Bain Capital Life Sciences,Projas X,0.405,VC 2014,0,0
D0251,2014-10-16,2014,Series_C,Polaris Partners,Xenpro AB,0.23,Series_C 2014,0,0
D0250,2014-10-23,2014,VC,a16z Bio,Xenxen IO,0.563,VC 2014,0,0
D0240,2014-10-27,2014,Series_B,ARCH Venture Partners,Veconc Tx,0.13,Series_B 2014,0,0
D0242,2014-11-01,2014,IPO,Public markets,Xenbio BIO,0.197,IPO 2014,0,0
D0223,2014-11-13,2014,VC,Sofinnova Investments,Immepi Tx,0.322,VC 2014,0,0
D0246,2014-11-14,2014,VC,OrbiMed,Aeruni Therapeutics,0.071,VC 2014,0,0
D0235,2014-11-17,2014,VC,Flagship Pioneering,Quoxen AB,0.587,VC 2014,0,0
D0003,2014-11-17,2014,M&A,Actavis,Allergan,70.5,Generics consolidation,1,1
D0213,2014-11-18,2014,Series_B,Polaris Partners,Syngen ON,0.202,Series_B 2014,0,0
D0220,2014-12-09,2014,M&A,Merck,Zeoden Tx,0.467,M&A 2014,0,0
D0236,2014-12-14,2014,VC,F-Prime Capital,Oncaer X,0.116,VC 2014,0,0
D0234,2014-12-23,2014,VC,F-Prime Capital,Lumyot Tx,0.047,VC 2014,0,0
D0263,2014-12-27,2014,VC,Polaris Partners,Vecxen IO,0.069,VC 2014,0,0
D0317,2015-01-09,2015,VC,Flagship Pioneering,Denuni ON,0.128,VC 2015,0,0
D0339,2015-01-12,2015,VC,OrbiMed,Dencel Therapeutics,0.185,VC 2015,0,0
D0294,2015-01-14,2015,M&A,GSK,Celrep AB,2.561,M&A 2015,0,0
D0278,2015-01-15,2015,M&A,Gilead,Zeotav ON,10.014,M&A 2015,1,0
D0289,2015-01-20,2015,Series_C,OrbiMed,Yottav OS,0.212,Series_C 2015,0,0
D0309,2015-01-20,2015,IPO,Public markets,Yotimm OS,0.258,IPO 2015,0,0
D0335,2015-01-22,2015,VC,GV (Google Ventures),Celgen BIO,0.281,VC 2015,0,0
D0310,2015-02-16,2015,VC,Versant Ventures,Modpro GX,0.435,VC 2015,0,0
D0322,2015-02-22,2015,Series_B,OrbiMed,Zeoonc IO,0.204,Series_B 2015,0,0
D0315,2015-02-26,2015,Crossover,RA Capital,Yotonc X,0.064,Crossover 2015,0,0
D0319,2015-03-06,2015,Series_B,OrbiMed,Rephap IO,0.032,Series_B 2015,0,0
D0328,2015-03-07,2015,M&A,Novartis,Haplum IO,1.033,M&A 2015,0,0
D0274,2015-03-07,2015,IPO,Public markets,Unilum IO,0.317,IPO 2015,0,0
D0304,2015-03-18,2015,M&A,Eli Lilly,Yotsyn Therapeutics,50.0,M&A 2015,1,0
D0300,2015-03-23,2015,M&A,BMS,Celonc RX,1.657,M&A 2015,0,0
D0292,2015-03-24,2015,VC,F-Prime Capital,Synbio RX,0.025,VC 2015,0,0
D0338,2015-03-26,2015,IPO,Public markets,Modepi IO,0.407,IPO 2015,0,0
D0004,2015-03-30,2015,M&A,Teva,Allergan Generics,40.5,Generics consolidation,1,1
D0324,2015-04-09,2015,VC,RA Capital,Prouni BIO,0.073,VC 2015,0,0
D0302,2015-04-11,2015,VC,GV (Google Ventures),Vecden AB,0.32,VC 2015,0,0
D0340,2015-04-12,2015,VC,GV (Google Ventures),Zeopro Tx,0.043,VC 2015,0,0
D0277,2015-04-13,2015,VC,Sofinnova Investments,Lumden Tx,0.376,VC 2015,0,0
D0295,2015-04-18,2015,Crossover,Flagship Pioneering,Vecyot GX,0.557,Crossover 2015,0,0
D0327,2015-04-18,2015,Series_C,Third Rock Ventures,Tavjas BIO,0.054,Series_C 2015,0,0
D0285,2015-04-21,2015,VC,Sofinnova Investments,Celimm RX,0.79,VC 2015,0,0
D0316,2015-04-27,2015,Series_B,Versant Ventures,Prouni BIO,0.669,Series_B 2015,0,0
D0323,2015-05-02,2015,Series_B,Bain Capital Life Sciences,Epigen X,0.036,Series_B 2015,0,0
D0284,2015-05-06,2015,Series_C,F-Prime Capital,Zeocel Therapeutics,0.247,Series_C 2015,0,0
D0279,2015-05-20,2015,Crossover,F-Prime Capital,Modsyn GX,0.045,Crossover 2015,0,0
D0275,2015-05-22,2015,IPO,Public markets,Oncrep ON,0.405,IPO 2015,0,0
D0308,2015-05-25,2015,Series_C,Bain Capital Life Sciences,Vecneu X,0.072,Series_C 2015,0,0
D0293,2015-05-25,2015,IPO,Public markets,Unicel ON,0.157,IPO 2015,0,0
D0283,2015-06-01,2015,Series_C,Sofinnova Investments,Neuepi GX,0.19,Series_C 2015,0,0
D0299,2015-06-02,2015,IPO,Public markets,Xenxen Therapeutics,0.283,IPO 2015,0,0
D0276,2015-06-02,2015,Series_B,OrbiMed,Vecepi BIO,0.027,Series_B 2015,0,0
